price,room,bathroom,surface,link,property_type,city,zone
1960000.0,2.0,2.0,140.0,https://www.avito.ma/fr/maarif/appartements/Appart_140m_A_R%C3%A9sidence_Ferm%C3%A9e_Maarif__56456540.htm,Appartements , Casablanca,Maarif
950000.0,,,,https://immoneuf.avito.ma/fr/unite/0ZQ?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
2392500.0,3.0,2.0,171.0,https://www.avito.ma/fr/palmier/appartements/Appartement_%C3%A0_vendre_171_m%C2%B2_%C3%A0_Casablanca_56649757.htm,Appartements , Casablanca,Palmier
640000.0,2.0,2.0,82.0,https://www.avito.ma/fr/hay_saada/appartements/Appartement_neuf_82_m2_%C3%A0_F%C3%A8s_Subvention_de_l_%C3%A9tat_56277852.htm,Appartements , Fès,Hay Saada
700000.0,3.0,2.0,130.0,https://www.avito.ma/fr/autre_secteur/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D8%A8%D8%A7%D9%84%D8%B7%D8%A7%D8%A8%D9%82_%D8%A7%D9%84%D8%B3%D9%81%D9%84%D9%8A_130%D9%85%D8%AA%D8%B1__50451556.htm,Appartements , Bouznika,Autre secteur
520000.0,2.0,1.0,54.0,https://www.avito.ma/fr/tanja_balia/appartements/appartement_neuf_tanger_balia_55042898.htm,Appartements , Tanger,Tanja Balia
1100000.0,,,,https://immoneuf.avito.ma/fr/unite/4ji?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1100000.0,2.0,2.0,118.0,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_102_m%C2%B2_%C3%A0_F%C3%A8s_56418699.htm,Appartements , Fès,Agdal
5600000.0,6.0,6.0,400.0,https://www.avito.ma/fr/route_d_ourika/villas_et_riads/Villa_d_exception_%C3%A0_saisir_56781721.htm,Villas et Riads , Marrakech,Route d'Ourika
1100000.0,,,,https://immoneuf.avito.ma/fr/unite/4jH?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
